"","block","pot_id","seed_density","individual","trt_water","trt_N","out_in","background_comp"
"1",1,7,"hi","PLER","lo","lo",0.211538461538462,"PLER"
"2",1,13,"lo","PLER","hi","int",0.888888888888889,"PLER"
"3",1,16,"lo","PLER","lo","hi",2.92592592592593,"PLER"
"4",1,17,"lo","PLER","hi","hi",3.7037037037037,"PLER"
"5",1,20,"hi","PLER","lo","hi",0.528846153846154,"PLER"
"6",1,25,"hi","PLER","hi","int",0.548076923076923,"PLER"
"7",1,26,"hi","PLER","hi","lo",0.269230769230769,"PLER"
"8",1,28,"lo","PLER","lo","lo",0.555555555555556,"PLER"
"9",1,29,"hi","PLER","hi","hi",0.413461538461538,"PLER"
"10",1,43,"lo","PLER","hi","lo",0.740740740740741,"PLER"
"11",1,46,"hi","PLER","lo","int",0.471153846153846,"PLER"
"12",1,49,"lo","PLER","lo","int",1.44444444444444,"PLER"
"13",2,55,"lo","PLER","lo","int",0.777777777777778,"PLER"
"14",2,60,"lo","PLER","lo","lo",0.962962962962963,"PLER"
"15",2,67,"hi","PLER","hi","lo",0.269230769230769,"PLER"
"16",2,77,"lo","PLER","hi","int",1.51851851851852,"PLER"
"17",2,78,"hi","PLER","lo","hi",1.20192307692308,"PLER"
"18",2,87,"lo","PLER","hi","lo",0.814814814814815,"PLER"
"19",2,92,"hi","PLER","lo","int",0.0576923076923077,"PLER"
"20",2,94,"lo","PLER","lo","hi",1.51851851851852,"PLER"
"21",2,98,"hi","PLER","hi","hi",1.30769230769231,"PLER"
"22",2,100,"hi","PLER","lo","lo",0.163461538461538,"PLER"
"23",2,101,"hi","PLER","hi","int",0.240384615384615,"PLER"
"24",2,105,"lo","PLER","hi","hi",6.66666666666667,"PLER"
"25",3,110,"hi","PLER","lo","lo",0.778846153846154,"PLER"
"26",3,114,"hi","PLER","lo","int",0.836538461538462,"PLER"
"27",3,119,"hi","PLER","lo","hi",2.11538461538462,"PLER"
"28",3,120,"lo","PLER","hi","lo",1.03703703703704,"PLER"
"29",3,122,"lo","PLER","hi","int",1.59259259259259,"PLER"
"30",3,126,"lo","PLER","hi","hi",3.81481481481481,"PLER"
"31",3,143,"hi","PLER","hi","lo",1.03846153846154,"PLER"
"32",3,144,"lo","PLER","lo","hi",4.40740740740741,"PLER"
"33",3,150,"hi","PLER","hi","int",0.528846153846154,"PLER"
"34",3,156,"lo","PLER","lo","int",2.44444444444444,"PLER"
"35",3,157,"lo","PLER","lo","lo",0.888888888888889,"PLER"
"36",3,159,"hi","PLER","hi","hi",1.38461538461538,"PLER"
"37",4,166,"hi","PLER","hi","lo",0.951923076923077,"PLER"
"38",4,171,"hi","PLER","lo","lo",0.701923076923077,"PLER"
"39",4,172,"lo","PLER","hi","hi",3.37037037037037,"PLER"
"40",4,174,"hi","PLER","hi","int",0.721153846153846,"PLER"
"41",4,175,"hi","PLER","lo","int",1.13461538461538,"PLER"
"42",4,186,"hi","PLER","hi","hi",1.92307692307692,"PLER"
"43",4,190,"lo","PLER","lo","lo",1.25925925925926,"PLER"
"44",4,194,"lo","PLER","lo","int",1.51851851851852,"PLER"
"45",4,197,"hi","PLER","lo","hi",1.33653846153846,"PLER"
"46",4,201,"lo","PLER","hi","int",1.81481481481481,"PLER"
"47",4,206,"lo","PLER","hi","lo",1,"PLER"
